id,name,abbreviation,url,notes,parent_office_id,no_parent,reporting_authority_type,cfo_act_agency
49081,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",,http://www.atf.gov,,52686,FALSE,executive,FALSE
49082,Alcohol and Tobacco Tax and Trade Bureau,,http://www.ttb.gov/,,49034,FALSE,executive,FALSE
49084,National Railroad Passenger Corporation,AMTRAK,http://www.amtrak.com/,,,TRUE,independent,FALSE
49085,Animal and Plant Health Inspection Service,,http://www.aphis.usda.gov/,,49450,FALSE,executive,FALSE
49088,Architect of the Capitol,,http://www.aoc.gov/,,49664,FALSE,independent,FALSE
49092,U.S. Arctic Research Commission,,http://www.arctic.gov/,,,TRUE,independent,FALSE
49093,Armed Forces Retirement Home,,http://www.afrh.gov/,,,TRUE,independent,FALSE
49095,Arms Control and International Security,,http://www.state.gov/t/,,49030,FALSE,executive,FALSE
49096,U.S. Army,,http://www.army.mil/,,49229,FALSE,executive,FALSE
49098,U.S. Army Corps of Engineers,,http://www.usace.army.mil/,,49096,FALSE,executive,FALSE
49100,Arthritis and Musculoskeletal Interagency Coordinating Committee,,http://www.niams.nih.gov/,,48089,FALSE,executive,FALSE
49101,U.S. Fleet Forces Command,,http://www.cffc.navy.mil/,,49229,FALSE,executive,FALSE
49102,Bankruptcy Courts,,http://www.uscourts.gov/bankruptcycourts.html,,,TRUE,independent,FALSE
49105,Barry M. Goldwater Scholarship and Excellence in Education Program,,http://www.act.org/goldwater/,,,TRUE,independent,FALSE
49106,Bonneville Power Administration,,http://www.bpa.gov/corporate/,,49624,FALSE,executive,FALSE
49108,U.S. Botanic Garden,,http://www.usbg.gov/,,49088,FALSE,independent,FALSE
49109,Broadcasting Board of Governors,,http://www.bbg.gov/,,,TRUE,independent,FALSE
49112,Bureau of Citizenship and Immigration Services,USCIS,http://www.uscis.gov/portal/site/uscis,,,TRUE,independent,FALSE
49113,Consumer Financial Protection Bureau,,http://www.consumerfinance.gov,,,TRUE,independent,FALSE
49115,Bureau of Economic Analysis,BEA,http://www.bea.gov/,,52668,FALSE,executive,FALSE
49117,Bureau of Indian Affairs,BIA,http://www.bia.gov/WhoWeAre/BIA/index.htm,,49383,FALSE,executive,FALSE
49120,Bureau of Industry and Security,,http://www.bis.doc.gov/,,52668,FALSE,executive,FALSE
49121,Bureau of International Labor Affairs,,http://www.dol.gov/ilab/,,49028,FALSE,executive,FALSE
49124,Bureau of Labor Statistics,,http://stats.bls.gov/,,49028,FALSE,executive,FALSE
49125,Bureau of Land Management,BLM,http://www.blm.gov/wo/st/en.html,,49033,FALSE,executive,FALSE
49126,Bureau of Prisons,,http://www.bop.gov/,,52686,FALSE,executive,FALSE
49128,Bureau of Reclamation,,http://www.usbr.gov/,,49033,FALSE,executive,FALSE
49129,Bureau of Transportation Statistics,,http://www.bts.gov/,,49035,FALSE,executive,FALSE
49134,Centers for Medicare & Medicaid Services,CMS,http://www.cms.gov,,49021,FALSE,executive,FALSE
49135,U.S. Central Command,CENTCOM,http://www.centcom.mil/,,49726,FALSE,executive,FALSE
49139,Chief Acquisition Officers Council,,http://www.cao.gov,,,TRUE,independent,FALSE
49141,Chief Financial Officers Council,,http://www.cfo.gov,,,TRUE,independent,FALSE
49143,Chief Human Capital Officers Council,,http://www.chcoc.gov/,,,TRUE,independent,FALSE
49145,Chief Information Officers Council,,http://www.cio.gov/,,,TRUE,independent,FALSE
49146,Citizens' Stamp Advisory Committee,,http://about.usps.com/who-we-are/leadership/stamp-advisory-committee.htm,,,TRUE,independent,FALSE
49149,U.S. Coast Guard,,http://www.uscg.mil/,,49022,FALSE,executive,FALSE
49153,U.S. Commission on International Religious Freedom,,http://www.uscirf.gov/,,,TRUE,independent,FALSE
49155,Commission on Security and Cooperation in Europe,Helsinki Commission,http://www.csce.gov,,,TRUE,independent,FALSE
49157,U.S. AbilityOne Commission,,http://www.abilityone.gov,,,TRUE,independent,FALSE
49159,Committee for the Implementation of Textile Agreements,,http://otexa.ita.doc.gov/cita.htm,,52668,FALSE,executive,FALSE
49161,Committee on Foreign Investment in the United States,,http://www.treasury.gov/about/organizational-structure/offices/International-Affairs/Pages/cfius-index.aspx,,,TRUE,independent,FALSE
49162,Community Oriented Policing Services,COPS,http://www.cops.usdoj.gov/,,52686,FALSE,executive,FALSE
49163,Office of Community Planning and Development,,http://www.hud.gov/offices/cpd/index.cfm,,49023,FALSE,executive,FALSE
49166,Computer Emergency Readiness Team,US CERT,http://www.us-cert.gov/,,49022,FALSE,executive,FALSE
49167,Congressional Budget Office,CBO,http://www.cbo.gov/,,49664,FALSE,independent,FALSE
49169,Congressional Research Service,,http://www.loc.gov/crsinfo/about/,,52628,FALSE,independent,FALSE
49174,Coordinating Council on Juvenile Justice and Delinquency Prevention,,http://www.juvenilecouncil.gov/,,,TRUE,independent,FALSE
49176,Copyright Office,,http://www.copyright.gov/,,52628,FALSE,independent,FALSE
49180,Council of Economic Advisers,,http://www.whitehouse.gov/cea/index.html,,,TRUE,executive,FALSE
49181,Council on Environmental Quality,,http://www.whitehouse.gov/administration/eop/ceq/,,,TRUE,executive,FALSE
49182,Court of Appeals for the Armed Forces,,http://www.armfor.uscourts.gov/index.html,,,TRUE,independent,FALSE
49184,Court of Appeals for the Federal Circuit,,http://www.cafc.uscourts.gov/,,,TRUE,independent,FALSE
49186,U.S. Court of Appeals for Veterans Claims,,http://www.uscourts.cavc.gov,,,TRUE,independent,FALSE
49188,Court of Federal Claims,,http://www.uscfc.uscourts.gov/,,,TRUE,independent,FALSE
49189,Court of International Trade,,http://www.cit.uscourts.gov/,,,TRUE,independent,FALSE
49191,Court Services and Offender Supervision Agency for the District of Columbia,,http://www.csosa.gov,,,TRUE,independent,FALSE
49194,Defense Acquisition University,,http://www.dau.mil/,,49229,FALSE,executive,FALSE
49195,Defense Advanced Research Projects Agency,DARPA,http://www.darpa.mil/,,49229,FALSE,executive,FALSE
49197,Defense Commissary Agency,,http://www.commissaries.com/,,49229,FALSE,executive,FALSE
49200,Defense Contract Audit Agency,DCAA,http://www.dcaa.mil/,,49229,FALSE,executive,FALSE
49202,Defense Contract Management Agency,,http://www.dcma.mil/,,49229,FALSE,executive,FALSE
49206,Defense Field Activities,,http://www.defenselink.mil/pubs/almanac/,,,TRUE,independent,FALSE
49209,Defense Information Systems Agency,DISA,http://www.disa.mil/,,49229,FALSE,executive,FALSE
49211,Defense Intelligence Agency,DIA,http://www.dia.mil,,49229,FALSE,executive,FALSE
49213,Defense Legal Services Agency,,http://www.defenselink.mil/dodgc/,,49229,FALSE,executive,FALSE
49217,Defense Security Cooperation Agency,DSCA,http://www.dsca.mil/,,49229,FALSE,executive,FALSE
49219,Defense Security Service,DSS,http://www.dss.mil/,,49229,FALSE,executive,FALSE
49221,Defense Technical Information Center,,http://www.dtic.mil,,49229,FALSE,executive,FALSE
49223,Defense Threat Reduction Agency,DTRA,http://www.dtra.mil/,,49229,FALSE,executive,FALSE
49225,Delaware River Basin Commission,,http://www.state.nj.us/drbc/drbc.htm,,,TRUE,independent,FALSE
49227,Denali Commission,,http://www.denali.gov/,,,TRUE,independent,FALSE
49229,Department of Defense,DOD,http://www.defense.gov/,,,TRUE,executive,TRUE
49230,Department of Defense Inspector General,,http://www.dodig.mil/,,49229,FALSE,executive,FALSE
49235,Domestic Policy Council,,http://www.whitehouse.gov/dpc/index.html,,,TRUE,executive,FALSE
49237,"Economic, Business and Agricultural Affairs",,http://www.state.gov/e/,,,TRUE,independent,FALSE
49238,Economic Adjustment Office,,http://www.oea.gov,,49229,FALSE,executive,FALSE
49240,Economic Development Administration,EDA,http://www.eda.gov/,,52668,FALSE,executive,FALSE
49242,Economic Research Service,,http://www.ers.usda.gov/,,49015,FALSE,executive,FALSE
49243,Economics and Statistics Administration,,http://www.esa.doc.gov/,,52668,FALSE,executive,FALSE
49250,Endangered Species Program,,http://endangered.fws.gov/,,48057,FALSE,executive,FALSE
49255,Energy Information Administration,,http://www.eia.doe.gov/,,49019,FALSE,executive,FALSE
49256,English Language Acquisition Office,,http://www.ed.gov/oela,,49018,FALSE,executive,FALSE
49259,Environmental Management,Energy Department,http://www.em.doe.gov/,,49019,FALSE,executive,FALSE
49261,European Command,,http://www.eucom.mil,,49726,FALSE,executive,FALSE
49263,Executive Office for Immigration Review,,http://www.usdoj.gov/eoir/,,52686,FALSE,executive,FALSE
49266,Office of Elementary and Secondary Education,OESE,http://www.ed.gov/oese,,49018,FALSE,executive,FALSE
49267,Fair Housing and Equal Opportunity,FHEO,http://www.hud.gov/offices/fheo/index.cfm,,49023,FALSE,executive,FALSE
49272,Farm Service Agency,,http://www.fsa.usda.gov,,49015,FALSE,executive,FALSE
49275,Federal Accounting Standards Advisory Board,,http://www.fasab.gov/,,,TRUE,independent,FALSE
49278,Federal Bureau of Investigation,FBI,http://www.fbi.gov/,,52686,FALSE,executive,FALSE
49281,Federal Consulting Group,,http://www.fcg.gov,,49033,FALSE,executive,FALSE
49288,Federal Executive Boards,,http://www.feb.gov/,,48112,FALSE,independent,FALSE
49290,Federal Financial Institutions Examination Council,,http://www.ffiec.gov/,,,TRUE,independent,FALSE
49292,Federal Financing Bank,,http://www.treas.gov/ffb/,,49034,FALSE,executive,FALSE
49294,Federal Geographic Data Committee,,http://www.fgdc.gov/,,,TRUE,independent,FALSE
49296,Federal Highway Administration,,http://www.fhwa.dot.gov/,,49035,FALSE,executive,FALSE
49299,Federal Interagency Committee for the Management of Noxious and Exotic Weeds,,http://www.fs.fed.us/ficmnew/index.shtml,,,TRUE,independent,FALSE
49300,Federal Interagency Committee on Education,,http://www.ed.gov/about/bdscomm/list/com.html#fice,,,TRUE,independent,FALSE
49301,Federal Interagency Council on Statistical Policy,,http://www.fedstats.gov/,,,TRUE,independent,FALSE
49303,Federal Judicial Center,,http://www.fjc.gov/,,,TRUE,independent,FALSE
49304,Federal Laboratory Consortium for Technology Transfer,,http://www.federallabs.org/,,,TRUE,independent,FALSE
49308,Federal Law Enforcement Training Center,,http://www.fletc.gov/,,49022,FALSE,executive,FALSE
49310,Federal Library and Information Center Committee,,http://lcweb.loc.gov/flicc/,,,TRUE,independent,FALSE
49312,Federal Mediation and Conciliation Service,,http://www.fmcs.gov/,,,TRUE,independent,FALSE
49315,Federal Motor Carrier Safety Administration,FMCSA,http://www.fmcsa.dot.gov/,,,TRUE,independent,FALSE
49318,Federal Railroad Administration,,http://www.fra.dot.gov/,,49035,FALSE,executive,FALSE
49320,Federal Retirement Thrift Investment Board,,http://www.frtib.gov/,,,TRUE,independent,FALSE
49322,Federal Student Aid Information Center,,http://www2.ed.gov/about/offices/list/fsa/index.html,,,TRUE,independent,FALSE
49323,Federal Transit Administration,,http://www.fta.dot.gov/,,49035,FALSE,executive,FALSE
49325,Financial Management Service,Treasury Department,http://www.fms.treas.gov/,,49034,FALSE,executive,FALSE
49331,Food Safety and Inspection Service,,http://www.fsis.usda.gov/,,49015,FALSE,executive,FALSE
49334,Foreign Agricultural Service,,http://www.fas.usda.gov/,,49015,FALSE,executive,FALSE
49336,Foreign Claims Settlement Commission,,http://www.usdoj.gov/fcsc/,,,TRUE,independent,FALSE
49339,Forest Service,,http://www.fs.fed.us/,,49015,FALSE,executive,FALSE
49340,Fossil Energy,,http://www.fe.doe.gov/,,49019,FALSE,executive,FALSE
49341,Fulbright Foreign Scholarship Board,,http://exchanges.state.gov/academicexchanges/fulbright/ffsb.html,,,TRUE,independent,FALSE
49343,U.S. Geological Survey,USGS,http://www.usgs.gov/,,49033,FALSE,executive,FALSE
49348,Global Affairs,State Department,http://www.state.gov/g/,,,TRUE,independent,FALSE
49349,Government Accountability Office,GAO,http://www.gao.gov/,,49664,FALSE,independent,FALSE
49351,Government National Mortgage Association,,http://www.ginniemae.gov,,49023,FALSE,executive,FALSE
49353,Government Printing Office,GPO,http://www.gpo.gov/,,49664,FALSE,independent,FALSE
49354,"Grain Inspection, Packers and Stockyards Administration",,http://www.gipsa.usda.gov/,,49450,FALSE,executive,FALSE
49356,Harry S. Truman Scholarship Foundation,,http://www.truman.gov/,,,TRUE,independent,FALSE
49359,Health Resources and Services Administration,,http://www.hrsa.gov/,,49021,FALSE,executive,FALSE
49363,Holocaust Memorial Museum,,http://www.ushmm.org/,,,TRUE,independent,FALSE
49367,House Office of Inspector General,,http://www.house.gov/IG/,,49371,FALSE,independent,FALSE
49369,House Office of the Clerk,,http://clerk.house.gov/,,49371,FALSE,independent,FALSE
49371,U.S. House of Representatives,,http://www.house.gov/,,,TRUE,independent,FALSE
49376,Housing Office,HUD,http://www.hud.gov/offices/hsg/index.cfm,,49023,FALSE,executive,FALSE
49383,Indian Affairs,,http://www.bia.gov/,,49033,FALSE,executive,FALSE
49384,Indian Arts and Crafts Board,,http://www.doi.gov/iacb/index.html,,49033,FALSE,executive,FALSE
49386,Indian Health Service,,http://www.ihs.gov/,,49021,FALSE,executive,FALSE
49389,Dwight D. Eisenhower School for National Security and Resource Strategy,,http://www.ndu.edu/icaf/index.htm,,49492,FALSE,executive,FALSE
49392,Information Resource Management College,,http://www.ndu.edu/irmc/,,49492,FALSE,executive,FALSE
49394,Innovation and Improvement Office,,http://www.ed.gov/oii,,49018,FALSE,executive,FALSE
49395,Institute of Education Sciences,,http://www.ed.gov/about/offices/list/ies/index.html,,49018,FALSE,executive,FALSE
49398,Institute of Peace,,http://www.usip.org/,,,TRUE,independent,FALSE
49400,Interagency Alternative Dispute Resolution Working Group,,http://www.adr.gov/index.html,,,TRUE,independent,FALSE
49402,Interagency Council on Homelessness,,http://www.ich.gov,,,TRUE,independent,FALSE
49404,Inter-American Foundation,,http://www.iaf.gov,,,TRUE,independent,FALSE
49409,International Trade Administration,ITA,http://trade.gov/index.asp,,52668,FALSE,executive,FALSE
49412,James Madison Memorial Fellowship Foundation,,http://www.jamesmadison.com/,,,TRUE,independent,FALSE
49414,Japan-United States Friendship Commission,,http://www.jusfc.gov,,,TRUE,independent,FALSE
49416,John F. Kennedy Center for the Performing Arts,,http://www.kennedy-center.org/,,,TRUE,independent,FALSE
49418,Joint Board for the Enrollment of Actuaries,,http://www.irs.gov/taxpros/actuaries/index.html,,48068,FALSE,executive,FALSE
49420,Joint Chiefs of Staff,,http://www.jcs.mil/,,,TRUE,independent,FALSE
49422,Joint Congressional Committee on Inaugural Ceremonies,,http://inaugural.senate.gov/index.cfm,,,TRUE,independent,FALSE
49423,Joint Fire Science Program,,http://www.firescience.gov,,,TRUE,independent,FALSE
49425,Joint Forces Command,,http://www.jfcom.mil/about/about1.htm,,,TRUE,independent,FALSE
49427,Joint Forces Staff College,,http://www.jfsc.ndu.edu/,,49492,FALSE,executive,FALSE
49429,National Intelligence University,,http://www.ni-u.edu/,,49211,FALSE,executive,FALSE
49430,U.S. Circuit Courts of Appeal,,http://www.uscourts.gov/FederalCourts.aspx,,,TRUE,independent,FALSE
49431,Judicial Panel on Multidistrict Litigation,,http://www.jpml.uscourts.gov,,,TRUE,independent,FALSE
49434,Office of Justice Programs,,http://www.ojp.usdoj.gov/,,52686,FALSE,executive,FALSE
49441,Healthy Homes and Lead Hazard Control Office,,http://www.hud.gov/offices/lead/,,49023,FALSE,executive,FALSE
49442,Legal Services Corporation,,http://lsc.gov/find-legal-aid,,,TRUE,independent,FALSE
49444,Marine Corps,,http://www.usmc.mil/,,49561,FALSE,executive,FALSE
49446,Marine Mammal Commission,,http://www.mmc.gov/,,,TRUE,independent,FALSE
49448,Maritime Administration,,http://www.marad.dot.gov/,,49035,FALSE,executive,FALSE
49450,Marketing and Regulatory Programs,Agriculture Department,http://www.usda.gov/wps/portal/usda/usdahome?contentid=missionarea_MRP.xml,,49015,FALSE,executive,FALSE
49451,Marshals Service,,http://www.usdoj.gov/marshals/,,52686,FALSE,executive,FALSE
49457,Migratory Bird Conservation Commission,,http://www.fws.gov/refuges/realty/mbcc.html,,,TRUE,independent,FALSE
49459,Military Postal Service Agency,,http://hqdainet.army.mil/mpsa/main.htm,,49229,FALSE,executive,FALSE
49460,Millennium Challenge Corporation,,http://www.mcc.gov,,,TRUE,independent,FALSE
49462,Mine Safety and Health Administration,,http://www.msha.gov/,,49028,FALSE,executive,FALSE
49464,Minority Business Development Agency,,http://www.mbda.gov/,,52668,FALSE,executive,FALSE
49468,Missile Defense Agency,MDA,http://www.mda.mil/mdalink/html/mdalink.html,,49229,FALSE,executive,FALSE
49470,Mississippi River Commission,,http://www.mvd.usace.army.mil/About/MississippiRiverCommission%28MRC%29.aspx,,,TRUE,independent,FALSE
49473,Morris K. Udall and Stewart L. Udall Foundation,,http://www.udall.gov/,,,TRUE,independent,FALSE
49475,Multifamily Housing Office,,http://portal.hud.gov/hudportal/HUD?src=/program_offices/housing/mfh,,49023,FALSE,executive,FALSE
49476,National Aeronautics and Space Administration,NASA,http://www.nasa.gov,,,TRUE,independent,TRUE
49479,National Agricultural Statistics Service,,http://www.nass.usda.gov,,49015,FALSE,executive,FALSE
49481,National AIDS Policy Office,,http://www.whitehouse.gov/onap/aids.html,,49235,FALSE,executive,FALSE
49483,National Archives and Records Administration,NARA,http://www.archives.gov/index.html,,,TRUE,independent,FALSE
49484,National Bipartisan Commission on the Future of Medicare,,http://rs9.loc.gov/medicare/index.html,,,TRUE,independent,FALSE
49488,National Commission on Fiscal Responsibility and Reform,,http://www.fiscalcommission.gov,,,TRUE,independent,FALSE
49489,National Constitution Center,,http://www.constitutioncenter.org/,,,TRUE,independent,FALSE
49490,"National Counterintelligence Executive, Office of",,http://www.ncix.gov/,,49595,FALSE,independent,FALSE
49492,National Defense University,,http://www.ndu.edu/,,49229,FALSE,executive,FALSE
49494,National Drug Intelligence Center,,http://www.usdoj.gov/ndic/index.htm,,52686,FALSE,executive,FALSE
